Material,Material Description,Material type,Plant,Storage location,Material Group,DF stor. loc. level,Base Unit of Measure,Unrestricted,Currency,Value Unrestricted,Transit and Transfer,Val. in Trans./Tfr,Quality Inspection,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
600001089,"3279720-Cup, injector",ZSP,VN49,1100,7063,,PC,36,VND,"47,321,817",0,0,0,0,0,0,0,0,0,0
600001099,"3283335-Gasket, cylinder",ZSP,VN49,1100,7063,,PC,1,VND,"3,539,867",0,0,0,0,0,0,0,0,0,0
600001099,"3283335-Gasket, cylinder",ZSP,VN49,1100,7063,,PC,1,VND,"3,539,867",0,0,0,0,0,0,0,0,0,0
600001099,"3283335-Gasket, cylinder",ZSP,VN49,1100,7063,,PC,1,VND,"3,539,867",0,0,0,0,0,0,0,0,0,0
600001099,"3283335-Gasket, cylinder",ZSP,VN49,1100,7063,,PC,3,VND,"10,619,602",0,0,0,0,0,0,0,0,0,0
600001109,"3286499-Hose, flexible",ZSP,VN49,1100,7063,,PC,2,VND,"1,009,428",0,0,0,0,0,0,0,0,0,0
600001149,"3347937-Gasket, cylinder",ZSP,VNT0,1100,7063,,PC,24,VND,"1,175,744",0,0,0,0,0,0,0,0,0,0
600001187,3408324-Actuator,ZSP,VN49,1100,7063,,PC,1,VND,"17,836,803",0,0,0,0,0,0,0,0,0,0
600001314,3545647-Turbo repair kit,ZSP,VN49,1100,7063,,PC,10,VND,"10,367,813",0,0,0,0,0,0,0,0,0,0
600001314,3545647-Turbo repair kit,ZSP,VN49,1100,7063,,PC,20,VND,"20,735,626",0,0,0,0,0,0,0,0,0,0
600001317,"3545669-Kit, tur repair",ZSP,VN49,1100,7063,,PC,10,VND,"8,812,715",0,0,0,0,0,0,0,0,0,0
600001337,"3609826-Seal, Water Pump",ZSP,VN49,1100,7063,,PC,1,VND,"897,151",0,0,0,0,0,0,0,0,0,0
600001339,3609962-Injector,ZSP,VN49,1100,7063,,PC,1,VND,"10,590,898",0,0,0,0,0,0,0,0,0,0
600001339,3609962-Injector,ZSP,VN49,1100,7063,,PC,2,VND,"21,181,797",0,0,0,0,0,0,0,0,0,0
600001339,3609962-Injector,ZSP,VN49,1100,7063,,PC,9,VND,"95,318,086",0,0,0,0,0,0,0,0,0,0
600001348,"3627961-Seal, Thermostat",ZSP,VN49,1100,7063,,PC,2,VND,"579,321",0,0,0,0,0,0,0,0,0,0
600001348,"3627961-Seal, Thermostat",ZSP,VN49,1100,7063,,PC,3,VND,"868,981",0,0,0,0,0,0,0,0,0,0
600001348,"3627961-Seal, Thermostat",ZSP,VNT0,1100,7063,,PC,3,VND,"868,981",0,0,0,0,0,0,0,0,0,0
600001352,3629205-THERMOSTAT,ZSP,VN49,1100,7063,,PC,1,VND,"2,002,226",0,0,0,0,0,0,0,0,0,0
600001352,3629205-THERMOSTAT,ZSP,VN49,1100,7063,,PC,3,VND,"6,006,677",0,0,0,0,0,0,0,0,0,0
600001352,3629205-THERMOSTAT,ZSP,VN49,1100,7063,,PC,4,VND,"8,008,902",0,0,0,0,0,0,0,0,0,0
600001373,3634664-set Gasket Cylinder,ZSP,VN49,1100,7063,,PC,4,VND,"2,443,689",0,0,0,0,0,0,0,0,0,0
600001373,3634664-set Gasket Cylinder,ZSP,VNT0,1100,7063,,PC,2,VND,"1,183,700",0,0,0,0,0,0,0,0,0,0
600001392,"3800174-Kit, PDC piston/Liner",ZSP,VN49,1100,7063,,PC,3,VND,"858,511",0,0,0,0,0,0,0,0,0,0
600001396,"3800340-Valve, intake",ZSP,VN49,1100,7063,,PC,25,VND,"8,944,291",0,0,0,0,0,0,0,0,0,0
600001396,"3800340-Valve, intake",ZSP,VNT0,1100,7063,,PC,12,VND,"4,293,260",0,0,0,0,0,0,0,0,0,0
600001397,"3800341-Valve, exh",ZSP,VN49,1100,7063,,PC,2,VND,"1,105,151",0,0,0,0,0,0,0,0,0,0
600001397,"3800341-Valve, exh",ZSP,VN49,1100,7063,,PC,25,VND,"13,814,382",0,0,0,0,0,0,0,0,0,0
600001397,"3800341-Valve, exh",ZSP,VNT0,1100,7063,,PC,10,VND,"5,525,753",0,0,0,0,0,0,0,0,0,0
